OrganizationName,Industries,HeadquartersLocation,Description,CBRank,PostalCode,EstimatedRevenueRange,OperatingStatus,FoundedDate,ExitDate,ClosedDate,Company Type,Website,NumberOfFounders,NumberOfEmployees,NumberOfFundingRounds,TotalEquityFundingAmount,TotalFundingAmount,Top5Investors,FullDescription,LastFundingAmount,LastFundingDate,NumberOfInvestors,FundingStatus,LastFundingType,
ConWISE Logo ConWISE,"Artificial Intelligence (AI) , Consulting , Small and Medium Businesses","Munich , Bayern , Germany","ConWISE is a consulting firm that consulting services focusing on corporate and change management, digital strategy, and leadership.","731,824",80331,—,Active,2021,—,—,For Profit,www.conwise.de/,—,11-50,—,—,—,—,—,—,—,—,—,—,
CONXAI Logo CONXAI,"Artificial Intelligence (AI) , Computer Vision , Construction , Software","Munich , Bayern , Germany",AI that understands construction,"25,782",—,—,Active,Feb 2020,—,—,For Profit,www.conxai.com/,2,11-50,2,"4,700,000.00 €","4,700,000.00 €","Earlybird Venture Capital , Pi Labs , Zacua Ventures , A/O , Argonautic Ventures","CONXAI is building an AI platform for the AEC industry to quickly and easily contextualize different types & formats of project lifecycle data from multiple sources, and transform them into actionable knowledge.We aim to effortlessly equip the AEC teams with the data and knowledge they need to deliver higher performance through automated decision support, planning and workflows.CONXAI is building its core technology that can tackle multiple AEC-focussed use cases with multiple different data types from a wide variety of sources.","2,000,000.00 €","Nov 1, 2023",5,Seed,Seed,
Conzia Logo Conzia,"Analytics , Artificial Intelligence (AI) , Cloud Data Services , Messaging , PaaS , Real Time , Software","Berlin , Berlin , Germany",Conzia is a cloud-based communications platform as a service.,"397,097",—,—,Active,2020,—,—,For Profit,conzia.com/,1,1-10,—,—,—,—,"Conzia is a cloud-based communications platform as a service.  It allows the users to manage all their conversations with their customers on various messaging channels via a single platform. Conzia makes it easier for to support team to converse with the customers on their favorite messaging channels like Whatsapp, Facebook, Viber, Instagram, Telegram, and many more via one cloud-based platform.",—,—,—,—,—,
Core Technologies Logo Core Technologies,"Analytics , Artificial Intelligence (AI) , Security , Software","Essen , Nordrhein-Westfalen , Germany",Core Technologies offers digital technologies services.,"1,894,308",45257,$1M to $10M,Active,—,—,—,For Profit,www.coretechnologies.de,—,11-50,—,—,—,—,"Core Technologies offers functional programming, analytics, distributed systems, data engineering, UI development, smart data and artificial intelligence, information security, cloud security, cloud infrastructure security. They also offer full range from application security to infrastructure security.",—,—,—,—,—,
corpNEWSmedia Thöring & Stuhr Logo corpNEWSmedia Thöring & Stuhr,"Artificial Intelligence (AI) , Big Data , Blockchain , Machine Learning","Hamburg , Hamburg , Germany","corpNEWSmedia Thöring & Stuhr is an internet company specialized in artificial intelligence, big data and communication services.","1,472,058",—,Less than $1M,Active,—,—,—,For Profit,corpnews-media.de/,—,1-10,—,—,—,—,—,—,—,—,—,—,
Cousin Automation Logo Cousin Automation,"Industrial Automation , Machine Learning , Mechanical Engineering","Wilferdingen , Baden-Wurttemberg , Germany",Cousin Automation is a mechanical engineering company that specializes in machine construction and automation technology solutions.,"2,448,282",75196,$1M to $10M,Active,2014,—,—,For Profit,vetter-automation.de,1,11-50,—,—,—,—,—,—,—,—,—,—,
Coya Logo Coya,"Artificial Intelligence (AI) , FinTech , Insurance , InsurTech , Internet","Berlin , Berlin , Germany","Coya offers scalable protection at the point of need with an AI risk guardian and simple, transparent, and personalized insurance cover.","14,050",10999,$1M to $10M,Active,2016,"Dec 29, 2022",—,For Profit,www.coya.com,3,101-250,3,"$46,083,273","$46,083,273","La Famiglia , Valar Ventures , Headline , UNIQA Ventures , MPGI","Coya offers a new hope, by redesigning and extending the insurance value chain, working backward from the customers' real-life needs. Coya will offer scalable protection at the point of need with an AI risk guardian and simple, transparent and personalized insurance cover. Designed from the ground up to manage life’s risks and join their customer’s journey.","5,000,000.00 €","Jun 5, 2021",5,M&A,Venture - Series Unknown,
craftguide Logo craftguide,"Apps , Artificial Intelligence (AI) , Augmented Reality , E-Learning , Education , Information Technology , Mobile Apps , Software , Virtual Reality","Munich , Bayern , Germany",craftguide is the platform delivering virtual assistant for machine-related tasks that works across mobile and VR systems.,"292,483",81379,—,Active,"Mar 1, 2018",—,—,For Profit,craftguide.com,2,11-50,—,—,—,—,"We enable humans to solve manual tasks on their own – simple, always, anywhereCraftguide connects education, manufacturers and applicantsby making practical know-how accessible and scalable craftguide is the only virtual assistant for machine-related tasks that works across mobile and VR systems. It overlays accurate 3D representations of real machines and plants with simple step-by-step instructions. These can be displayed on smartphones and tablets to guide users directly at the machine, or in virtual reality to train them in a controlled, location independent environment.",—,—,—,—,—,
cre[ai]tion Logo cre[ai]tion,"Artificial Intelligence (AI) , Fashion , Product Design , Software","Frankfort , Hessen , Germany",creaitionis an interactive ai-based platform,"234,585",60314,—,Active,2022,—,—,For Profit,www.creaition.io/,—,1-10,1,—,—,Campus Founders,"creaition is an interactive, artificial intelligence-powered platform that generates inspiration for designers, creatives, and artists. They optimize the complex and iterative design process by providing a digital designer's algorithm capable of identifying and extracting the brand's DNA in order to create future designs.",—,"Feb 15, 2023",1,Seed,Pre-Seed,
creaidAI Logo creaidAI,"Artificial Intelligence (AI) , Machine Learning , Software","Munich , Bayern , Germany",creaidAI is an artificial intelligence software development company.,"666,786",80798,$1M to $10M,Closed,2016,—,—,For Profit,creaidai.com,1,1-10,—,—,—,—,"creaidAI develops powerful end-to-end deep-learning-based systems on a pure concept level using an intuitive graphics without writing a single line of code. They documented and their style-compliant source code is then generated for training, evaluation, and deployment of the designed artificial intelligence system.",—,—,—,—,—,
Creakom Logo Creakom,"Advertising , Artificial Intelligence (AI) , Brand Marketing","München , Bayern , Germany",Creakom is a communication agency that renders solutions in the field of ​​customer analytics based on artificial intelligence.,"1,700,549",—,$1M to $10M,Active,"Jan 1, 1989",—,—,For Profit,www.creakom.de,—,11-50,—,—,—,—,—,—,—,—,—,—,
Creatext Logo Creatext,"Artificial Intelligence (AI) , Information Technology , Machine Learning , Natural Language Processing , Sales , Software","Berlin , Berlin , Germany",Creatext is a Berlin-based team of AI engineers building a “GitHub Copilot for salespeople”.,"59,575",10117,—,Active,Jan 2020,—,—,For Profit,creatext.ai,2,1-10,1,"$120,000","$120,000",Techstars,Creatext is building generative AI for communication.,"$120,000","Jan 25, 2021",1,Seed,Pre-Seed,
creative.ai Logo creative.ai,"Artificial Intelligence (AI) , Graphic Design , Machine Learning","Berlin , Berlin , Germany",creative.ai is an Artificial Intelligence for Creative Industries.,"297,431",—,—,Active,"Jan 24, 2017",—,—,For Profit,creative.ai/,—,—,—,—,—,—,—,—,—,—,—,—,
credium Logo credium,"Analytics , Artificial Intelligence (AI) , Banking , Geospatial , Information Technology , Insurance , Machine Learning , Software","Augsburg , Bayern , Germany",credium is an AI-company that concentrates on building analytics.,"217,708",86150,—,Active,"Jun 2, 2020",—,—,For Profit,www.credium.de/,3,11-50,1,—,—,FTTF,"credium is a developer of geospatial data analysis techniques designed to provide real-time area-wide, address-specific, thorough, and property data. In the background, the company's platform uses artificial intelligence to evaluate 3D building models, satellite and orthophotos, map services, and socio-economic statistics. It also analyzes terabytes of data sources, allowing clients to gain access to efficient building and property data.",—,"Feb 24, 2021",1,Seed,Pre-Seed,
Cretec Cybernetics Logo Cretec Cybernetics,"Industrial Automation , Machine Learning , Robotics","Büdingen , Hessen , Germany",Cretec Cybernetics provides automation solutions and multidimensional image processing.,"1,806,263",63654,—,Active,1993,—,—,For Profit,www.cretec-cybernetics.com,—,11-50,—,—,—,—,"Cretec Cybernetics offers industrial machine vision automation. They connect machine vision, robotics, and control technologies. They match industrial robots and cobots into machine vision-based solutions for handling, inspection, and assembly.",—,—,—,—,—,
CREX Capital Logo CREX Capital,"Artificial Intelligence (AI) , Financial Services , Machine Learning , Transaction Processing","Berlin , Berlin , Germany",CREX Capital is a Financial Service company that provides a regulatory-compliant process for commercial real estate financing transactions.,"108,715",—,—,Active,2022,—,—,For Profit,www.crexcapital.io,—,1-10,2,"100,000.00 €","100,000.00 €","Startup Wise Guys , Plug and Play","CREX Capital is a Financial Service company that provides a regulatory-compliant process for commercial real estate financing transactions. CREX Capital revolutionizes the professional and risk-relevant financing, mediation, and decision-making process in the context of commercial real estate financing with an automated analysis focus through the use of future-proof technologies.Founded by Marc Wohlschlaeger, Maciej Jakub Merkel, and Michael Wetzel in 2022 and is located in Berlin, Berlin.","100,000.00 €","May 15, 2023",2,Seed,Pre-Seed,
CrossEngage Logo CrossEngage,"Cloud Data Services , Database , Machine Learning , Marketing , Predictive Analytics , SaaS , Software","Berlin , Berlin , Germany",CrossEngage is a customer data & engagement platform that combines a CDP with cross-channel campaign management capabilities.,"15,018",10557,$10M to $50M,Active,Jul 2015,"Dec 22, 2023",—,For Profit,www.crossengage.io,4,11-50,5,"12,500,000.00 €","12,500,000.00 €","Earlybird Venture Capital , Cavalry Ventures , IBB Ventures , Vorwerk Ventures , 42CAP","CrossEngage is a Customer Data & Engagement Platform that combines a customer data platform with cross-channel campaign management capabilities. It easily integrates with all data sources and marketing channels so that customers can keep their existing marketing infrastructure. By enabling a more personalized communication, CrossEngages helps its clients sustainably increase customer engagement and loyalty.Too many marketing channels - too little orchestration. Many companies and consumers suffer from uncoordinated marketing activities. CrossEngage helps you to deliver a better customer experience through a relevant, consistent cross-channel communication per user. They provide a cross-channel marketing cloud solution that empowers marketing managers to orchestrate their campaigns across all relevant channels (e.g. E-Mail, RTA, Onsite, Push Notifications).According to the Digital Marketers Census 2015, Cross-Channel Marketing is with 58% the highest of all priorities for Digital Marketers in Germany. They help you to solve the challenges in this field and profit from the benefits of an orchestrated cross-channel strategy.","6,500,000.00 €","Sep 24, 2020",18,M&A,Venture - Series Unknown,
crossworx Logo crossworx,"Apps , Artificial Intelligence (AI) , Communities , Professional Networking","Munich , Bayern , Germany","Crossworx is a community hub that helps develop AI-based business models, and maximize network potential.","1,608,332",D-80335,$1M to $10M,Active,2013,—,—,For Profit,www.crossworx.one/,1,11-50,—,—,—,—,—,—,—,—,—,—,
Crowdee Logo Crowdee,"Artificial Intelligence (AI) , Data Center Automation , Data Collection and Labeling , Information Technology","Berlin , Berlin , Germany","Crowdee provides Quality Operations, AI improvement, digital service, and automation, data collection studies.","996,935",—,—,Active,2016,—,—,For Profit,www.crowdee.com,—,1-10,—,—,—,—,—,—,—,—,—,—,
Cruisewatch Logo Cruisewatch,"Artificial Intelligence (AI) , Leisure , Tourism , Travel","Hanover , Niedersachsen , Germany",Cruisewatch is an AI-based travel tech company.,"85,667",—,—,Active,2016,—,—,For Profit,www.cruisewatch.com/,2,1-10,4,"$2,093,025","$2,093,025","Enjoyventure Management , European regional development fund (ERDF) , Hannover Beteiligungsfonds , VentureVilla Accelerator , NBank Capital",Cruisewatch is an AI-based travel tech company. This is why for every inefficiency in the cruise industry we aim to find a technological solution. And our team constantly works on improving those travel innovations.,"1,000,000.00 €","Mar 4, 2022",5,—,Venture - Series Unknown,
CrystalsFirst Logo CrystalsFirst,"Artificial Intelligence (AI) , Biotechnology , Health Care , Pharmaceutical","Marburg , Hessen , Germany",Overcoming current limitations of small molecule drug discovery using proprietary structural biology technology and generative AI.,"105,030",35037,$1M to $10M,Active,"Feb 28, 2018",—,—,For Profit,www.crystalsfirst.com/,2,11-50,4,"600,000.00 €","756,600.00 €","VentureOut , MassChallenge , EXIST , Hessen Kapital I GmbH","CrystalsFirst's MAGNET platform overcomes current limitations of small molecule drug discovery. The integration of high-performance structural biology detects molecular magnets and generative AI/Machine Learning identifies novel molecules and druggable binding pockets for difficult targets. Our MAGNET Platform is a unique and powerful approach to unlock chemical matter. It integrates the “crystal structure first” strategy, large-scale computational modelling, generative AI and medicinal chemistry. Starting with crystal structures as the first step in drug discovery, we also gain valuable insights into target interactions, enabling rational design from the beginning. Building block chemistry provides rapid access to diverse chemical scaffolds, facilitating hit expansion, scaffold hopping, and efficient compound generation. Computational modelling and machine learning aid in predicting compound properties and optimizing lead candidates. The synergistic combination of these elements in the MAGNET Platform accelerates the discovery process and increases the likelihood of finding innovative and effective therapeutic compounds.",—,"Aug 1, 2022",4,Seed,Non-equity Assistance,
CST Logo CST,"Artificial Intelligence (AI) , Automotive , Cloud Data Services , Computer Vision , Information Technology , Internet of Things , Machine Learning , Quality Assurance , Sensor , Software","Waldshut-tiengen , Baden-Wurttemberg , Germany",Cloud-based mobile tread depth measurement,"113,312",—,—,Active,"Nov 28, 2014",—,—,For Profit,cst-gmbh.eu/,4,1-10,2,"1,000,000.00 €","1,000,000.00 €","L-Bank , MBG Baden Wuerttemberg , United Volksbank Raiffeisenbank","CST stands for innovation in optical dimensional and surface metrology.Developed by excellently trained experts from practice, research and development, our patented 3D ""one-shot"" surface measurement technology using LED and embedded 3D cameras is considered groundbreaking today.Long-standing in research & application development of tread depth measurement systems, we have long focused on the development and operation of AI-based cloud solutions.By using artificial intelligence, applying deep learning and integrating with the IoT, we are able to provide cost-effective, customized solutions based on customer requirements.","600,000.00 €","Jan 13, 2022",3,Early Stage Venture,Series A,
Cuciniale Logo Cuciniale,"Apps , Consumer Electronics , Cooking , Intelligent Systems , Internet of Things","Lindau , Bayern , Germany","Cuciniale GmbH, a Lindau, Germany-based company develops and markets intelligent cooking assistance systems for the consumer goods market.","721,119",88138,Less than $1M,Active,"Feb 14, 2012",—,—,For Profit,www.cuciniale.com,1,11-50,2,—,—,"High-Tech Grunderfonds , Zwilling J.A. Henckels AG , Bricklayers and Allied Craftworkers","Cuciniale GmbH, a Lindau, Germany-based company develops and markets intelligent cooking cooking systems for the consumer goods market.",—,"May 30, 2018",3,Early Stage Venture,Series A,
Cultway Logo Cultway,"Artificial Intelligence (AI) , B2B , Web Development","Berlin , Berlin , Germany",Cultway is an AI-powered construction kit that allows you to make professional movies and slides for teaching knowledge.,"351,454",—,—,Active,2022,—,—,For Profit,cultway.io,—,1-10,—,—,—,—,Cultway is a developer of AI-based application software aimed at providing a construction tool for creating multimedia material for knowledge transfer in businesses.,—,—,—,—,—,
CureCurve Medical AI Logo CureCurve Medical AI,"Artificial Intelligence (AI) , Health Care , Software","Darmstadt , Hessen , Germany",CureCurve Medical AI develops digital health therapy apps that can help live a healthier and happier life.,"1,093,005",—,—,Active,2021,—,—,For Profit,curecurve.de,1,1-10,—,—,—,—,—,—,—,—,—,—,
cureVision Logo cureVision,"Artificial Intelligence (AI) , Health Care , Image Recognition , Information Technology , Medical","Munich , Bayern , Germany","AI-based medical imaging and diagnostic solutions for vascular surgeons and care staff, specialist for chronic wounds","74,179",80992,—,Active,"Mar 25, 2021",—,—,For Profit,www.curevision.org,3,11-50,2,"1,760,000.00 €","1,760,000.00 €","Companisto , AQAL Integral Investing","AI-based medical imaging and diagnostic solutions for vascular surgeons and care staff, specialist for chronic wounds","1,500,000.00 €","Oct 22, 2022",2,Seed,Seed,
Curiosity Logo Curiosity,"Artificial Intelligence (AI) , Enterprise Software , Information Technology , Knowledge Management , Natural Language Processing , Productivity Tools , Search Engine , Semantic Search","Munich , Bayern , Germany",One search for all your knowledge,"249,000",80331,$10M to $50M,Active,May 2018,—,—,For Profit,curiosity.ai/,2,1-10,—,—,—,—,"Curiosity is the work tool that searches across all your apps to help you find exactly what you need.Individuals use Curiosity as a desktop launcher. It helps them save time and be more productive by putting all their information at their fingertips, no matter where it's saved. Teams use Curiosity to increase their productivity with a powerful unified search across all their applications. It connects all their knowledge to a graph that helps them find the information and people they need to get things done.Curiosity is easy to use and comes ready to work with the apps you already use. It always keeps all your data safe on your computer / in your team.The company was founded in 2018 and is headquartered in Munich, Germany.",—,—,—,—,—,
Customcells Group Logo Customcells Group,"Aerospace , Artificial Intelligence (AI) , Automotive , Battery , Chemical , Chemical Engineering , CleanTech , Energy , Energy Efficiency , Energy Storage","Itzehoe , Schleswig-Holstein , Germany","Innovative cells, High performance batteries, Lithium ion, cells, Automotive cells, Aviation cells, High Si cells, battery technology","81,848",D-25524,$1M to $10M,Active,2013,—,—,For Profit,www.customcells.de,2,251-500,3,"60,000,000.00 €","60,000,000.00 €","World Fund , 468 Capital , Porsche Ventures , High-Tech Grunderfonds , Porsche","Leading company for high performance cells for automotive and aviation applications. Former technology provider and creator of Porsche's Cellforce Group. Founded in 2012, Customcells is running several development and production sites and is currently expanding into the USA. Customcells is the cell manufacturing partner for Lilium and is currently manufacturing pre-lithiiated battery cells with a tremendously high power and energy rating. Customcells is working on systematic implementation of artificial intelligence in production.","60,000,000.00 €","Dec 8, 2022",8,Early Stage Venture,Series A,
cxomni Logo cxomni,"Analytics , Brand Marketing , Customer Service , Information Technology , Intelligent Systems , Marketing , SaaS , Software","Munich , Bayern , Germany",cxomni is the leading Customer Journey Management platform to normalize & analyze all experience data dimensions along the journey.,"344,522",81829,$1M to $10M,Active,2014,—,—,For Profit,cxomni.net,2,11-50,—,—,—,—,"cxomni was founded in 2014 as a start-up in Munich, Germany, and quickly developed into a thought leader for Customer Journey Management. With cxomni, customer-centric organizations can collaboratively identify relevant customer insights by using AI, visualize them in the context of the customer journey, and orchestrate the corresponding needs and requirements for the responsible stakeholders.With cxomni's comprehensive SaaS tool suite, customer journeys can be designed, mapped and managed, and products and services can be developed and optimized according to CX and UX. Based on a company-specific Journey Management Framework, acceptance throughout the organization is guaranteed. Knowledge transfer via generative AI (language-independent) saves costs and ensures that the CX knowledge base is always up-to-date.",—,—,—,—,—,
Cyanite Logo Cyanite,"Analytics , Artificial Intelligence (AI) , B2B , Big Data , Data Visualization , Machine Learning , Music , Software , Software Engineering","Mannheim , Baden-Wurttemberg , Germany",Cyanite is an efficient music search and tagging engine.,"34,668",68239,—,Active,"Jul 1, 2018",—,—,For Profit,cyanite.ai/,4,11-50,3,"800,000.00 €","800,000.00 €","Michael Shaulov , Sushi Venture Partners , LionCorn Capital , ‪Daniel Kondermann‬ , Andrea Kranzer","Cyanite mission is to support music companies in making the shift on their way to the age of AI without spending years and expensive resources on innovation. Cyanite enables them to revolutionize their music databases with modern algorithms, optimize their workflows, and generate more revenues by bringing their long-tail strategies to life.","800,000.00 €","Aug 2, 2022",12,Seed,Seed,
Cyber Media Creations Logo Cyber Media Creations,"Artificial Intelligence (AI) , Content Marketing , SEO","Iffeldorf , Bayern , Germany",Cyber Media Creations offers artificial intelligence services for businesses and social media.,"2,281,985",82393,—,Active,1997,—,—,For Profit,cybermediacreations.com,—,1-10,—,—,—,—,—,—,—,—,—,—,
Cyber Valley Logo Cyber Valley,"Artificial Intelligence (AI) , Information Technology , Machine Learning , Market Research","Tübingen , Baden-Wurttemberg , Germany",Cyber Valley is a research consortium in the field of artificial intelligence with partners from science and industry.,"699,723",—,—,Active,2016,—,—,For Profit,cyber-valley.de,3,11-50,—,—,—,—,—,—,—,—,—,—,
Cyber ​​Insight Logo Cyber ​​Insight,"Artificial Intelligence (AI) , Cyber Security","Leipzig , Sachsen , Germany","Cyber Insight - Measure, Manage, Mitigate Cyber Risks","208,025",4103,—,Active,2022,—,—,For Profit,cyber-insight.de/,1,11-50,1,—,—,TGFS - Technologiegründerfonds Sachsen,"Cyber ​​Insight is a company that operates in the fields of artificial intelligence and cyber security. The company offers a platform that helps clients identify cyber risks and learn how to protect themselves from cyber attacks. Their Cyber-Insight Co-Pilot provides a revolutionary perspective for risk assessment with its AI-based approach. The company also offers cybersecurity consulting and advisory services, assisting clients in building secure cyber defenses. They are committed to helping clients with innovation and problem solving in complex or crisis operations.",—,"Apr 4, 2023",1,Seed,Seed,
Cybernetyx Logo Cybernetyx,"Artificial Intelligence (AI) , Computer , Machine Learning , Software","Rinteln , Niedersachsen , Germany",Cybernetyx is a leading AI innovation company to power the future.,"612,390",31737,—,Active,2009,—,—,For Profit,en.cybernetyx.com,2,101-250,—,—,—,—,"Cybernetyx Group was founded in 2009 with a purpose to combine connected computing, sensing and intelligent algorithms to design devices and platforms which can foster human-machine symbiotic experiences. These devices influence several aspects of Their lives including when they're at our homes, their learning and workplaces, while they’re at public spaces and inside their automobiles — and thus, transform their entire life experience.",—,—,—,—,—,
Cynatix Logo Cynatix,"Automotive , Business Intelligence , Fleet Management , Machine Learning , SaaS , Software , Transportation","Berlin , Berlin , Germany",Intelligent Fleet Management Platform,"872,277",12435,—,Active,"Jul 24, 2017",—,—,For Profit,www.cynatix.com,1,1-10,—,—,—,—,"Cynatix specializes in developing innovative and user-friendly GPS systems for tracking vehicles and objects. Our focus goes beyond meeting the highest technical quality standards; we place a strong emphasis on delivering a seamless user experience. Located in the heart of Berlin, a thriving hub for the digital industry, we manufacture our hardware in EU countries while extending our services to customers worldwide. Our mission is to help businesses in preparing for the future world, starting today.",—,—,—,—,—,
CYTE Technologies Logo CYTE Technologies,"Apps , Artificial Intelligence (AI) , Information Technology , Software , UX Design","Leipzig , Sachsen , Germany","CYTE Technologies is an IT company that app development, software development, and UI/UX design services.","1,837,722",—,—,Active,—,—,—,For Profit,cyte.dev/,—,11-50,—,—,—,—,—,—,—,—,—,—,
D25.io Logo D25.io,"Artificial Intelligence (AI) , Image Recognition , Information Technology","Leipzig , Sachsen , Germany","D25.io is an information technology company that develops artificial intelligence solutions for image, text, speech, and video analysis.","2,462,291",4107,—,Active,—,—,—,For Profit,d25.io/,—,1-10,—,—,—,—,"D25 .io GmbH develops an independent platform for artificial intelligence - Made in Germany. On this platform, artificial intelligence from the areas of image, text, speech, and video analysis can be combined with one another.",—,—,—,—,—,
D3M Labs Logo D3M Labs,"Analytics , Artificial Intelligence (AI) , Digital Marketing , Digital Media , Information Technology , Media and Entertainment , Social Media , Social Media Marketing","Berlin , Berlin , Germany",Data online magazine and community dedicated to getting value at out of data.,"911,659",12099,—,Active,2023,—,—,For Profit,www.d3mlabs.de/,1,—,—,—,—,—,D3M Labs is a consultancy that creates amazing AI and analytics products for clients.,—,—,—,—,—,
DABBEL Logo DABBEL,"Artificial Intelligence (AI) , Energy Efficiency , Internet of Things , Machine Learning , Smart Building","Düsseldorf , Nordrhein-Westfalen , Germany",DABBEL is an Ai Building Management System (Ai-BMS) with the ability to self-manage building control systems.,"37,890",40219,—,Active,"Mar 2, 2018",—,—,For Profit,www.dabbel.eu,1,1-10,2,"3,600,000.00 €","3,600,000.00 €","Target Global , Neosfer , Seed X Liechtenstein , Agile Accelerator","DABBEL is an AI-Autonomous Building Management System with the ability to self-manage building control systems more efficiently than any human. Controls include, but are not limited to, building temperature, ventilation and lighting. It makes its own decisions, through a self-learning, self-adapting and self-configuring system with cognitive artificial intelligence. DABBEL reduces implementation, energy and operational costs (20-40%) and simultaneously increases the wellness and productivity of tenants providing a healthy environment.DABBEL can transform your office building into an AI Self-Driving building in just 2 weeks! Do you want to know how? Let's have a talk!","3,600,000.00 €","May 18, 2021",4,Seed,Seed,
DACH Projekt Consulting Logo DACH Projekt Consulting,"Big Data , Consulting , Information Technology , IT Management , Machine Learning , Software","Darmstadt , Hessen , Germany","DACH Projekt Consulting specializes in IT project management, security, big data, machine learning, and software development services.","1,250,492",D-64283,$1M to $10M,Active,—,—,—,For Profit,www.dachpc.com/,—,11-50,—,—,—,—,—,—,—,—,—,—,
DACS Laboratories Logo DACS Laboratories,"Apps , Data Center , Gaming , Information Technology , Machine Learning , Software","Erkrath , Nordrhein-Westfalen , Germany",DACS Laboratories focuses on innovating efficient and highly scalable application deployment technologies.,"461,630",40699,$1M to $10M,Active,"Apr 16, 2014",—,—,For Profit,www.dacs-labs.com,3,11-50,2,—,—,"VentureOut , Deutsche Invest Capital Partners , EVO Venture Partners","DACS Laboratories, focused on innovating highly scalable application deployment solutions, developed ROCKIT, a fast game start technology that brings a Netflix-like access to gamers. ROCKIT accelerates data and application delivery using storage virtualization technology. The result is time-to-start ratios that are up to 107x faster compared to conventional download.",—,"Apr 1, 2016",3,Seed,Seed,
Dacus Logo Dacus,"Drone Management , Information Technology , Intelligent Systems","Darmstadt , Hessen , Germany",Dacus is a research and development outfit that specializes in unmanned aerial systems and unmanned traffic management.,"2,107,527",64287,—,Active,2020,—,—,For Profit,dacus-research.eu,—,11-50,—,—,—,—,—,—,—,—,—,—,
Daedalus Logo Daedalus,"Artificial Intelligence (AI) , Manufacturing , Robotics","Karlsruhe , Baden-Wurttemberg , Germany",Daedalus builds and operates the world's most advanced factories for precision components.,"16,077",76187,—,Active,"Oct 29, 2019",—,—,For Profit,daedalus.de/,1,51-100,4,"$41,100,000","$41,100,000","Y Combinator , Khosla Ventures , Addition , NGP Capital , First Momentum Ventures","Daedalus is building the world’s most advanced factories for precision components. With $40M in funding from Khosla Ventures, Addition, NGP Capital and Y Combinator, and a team from OpenAI, Google, SpaceX and Blue Horizon, we’re building software-defined factories where we’re producing parts for companies in semiconductor, aerospace, medical, energy, defense and more.","$21,000,000","Feb 8, 2024",7,Early Stage Venture,Series A,
Daenet Logo Daenet,"Artificial Intelligence (AI) , Cloud Data Services , Internet of Things , Software","Frankfurt An Der Oder , Brandenburg , Germany","Daenet is a software development company that focuses on Cloud, IoT, and artificial intelligence.","726,675",60314,—,Active,1989,—,—,For Profit,daenet.de,—,11-50,—,—,—,—,—,—,—,—,—,—,
dailypoint™ Logo dailypoint™,"Artificial Intelligence (AI) , CRM , Hospitality , Information Technology , Marketing , SaaS , Software","Munich , Bayern , Germany",dailypoint™ - the only #realCRM. dailypoint™ is the leading #abovePMS solution for individual hotels and hotel groups.,"341,692",80333,—,Active,2005,—,—,For Profit,www.dailypoint.com/,1,11-50,—,—,—,—,"dailypoint™ is the leading Data Management and CRM platform for sophisticated individual hotels and hotel groups. dailypoint™ collects data from all relevant sources such as PMS, POS, website, newsletter or WiFi and automatically creates a central and consolidated guest profile. In 350 steps, the data is processed and enriched by means of artificial intelligence (AI) to create a guest profile never seen before.The cloud-based SAAS solution consists of 15 modules and is complemented by the dailypoint™ Marketplace with more than 130 solution partners. dailypoint™ not only offers measurable marketing, but also covers the entire customer journey and thus supports all departments within a hotel. The integrated Privacy Dashboard is also the central element for the technical implementation of the GDPR.dailypoint™ is headquartered in Munich, Germany and is sold and supported worldwide directly or through its distribution partners D-EDGE and XNProtel.",—,—,—,—,—,
Data Agent Logo Data Agent,"Artificial Intelligence (AI) , Machine Learning , Video Streaming","Hamburg , Hamburg , Germany",Data Agent GmbH is an AI tech company founded in Hamburg with the objective to deliver AI driven solutions for the film industry.,"2,383,313",20459,—,Active,"Sep 1, 2022",—,—,For Profit,www.dataagent.ai/,3,1-10,—,—,—,—,—,—,—,—,—,—,
Data Laboratory Berlin Logo Data Laboratory Berlin,"Analytics , Artificial Intelligence (AI) , Information Technology , Machine Learning","Berlin , Berlin , Germany",Data Laboratory Berlin data & knowledge-based applications.,"1,771,096",—,—,Active,—,—,—,For Profit,www.datenlabor.berlin/,—,—,—,—,—,—,"Companies and organizations that can not set up their own department for the analysis and quality assurance of data and data products or that lack experienced data scientists (data scientist) support the data laboratory Berlin in the analysis, evaluation and quality assurance of data and data products. As a neutral reviewer , the data lab rates and evaluates the quality of their heuristic, semantic or probabilistic applications.",—,—,—,—,—,
Data Lighthouse Logo Data Lighthouse,"Artificial Intelligence (AI) , Information Technology , Real Time , Software","Hamburg , Hamburg , Germany",Data Lighthouse offers real-time planning software for digital twin-based simulation and optimization.,"1,286,734",—,—,Active,—,—,—,For Profit,www.data-lighthouse.com,—,11-50,—,—,—,—,—,—,—,—,—,—,
Data Marketing Campus Logo Data Marketing Campus,"Advertising , Machine Learning , Marketing","Hamburg , Hamburg , Germany","Data Marketing Campus is an advertising company that provides machine learning, campaign tracking, and website analytics services.","2,960,811",22765,$1M to $10M,Active,2019,—,—,For Profit,datamarketingcampus.de/,—,11-50,—,—,—,—,—,—,—,—,—,—,
